sample_id,condition,task_type,field_match,accuracy,leakage,cmd_valid,unmask_success,latency_sec,input_tokens,output_tokens
B3-020,C3,qos_config,1.0,1.0,0.0,1.0,,1.1876,1068,118
B3-021,C3,sdn_flow_config,1.0,1.0,0.0,1.0,,1.2965,1059,138
B3-022,C3,sdn_flow_config,1.0,1.0,0.0,1.0,,1.2917,1054,128
B3-023,C3,sdn_flow_config,1.0,1.0,0.0,1.0,,1.4679,1142,146
B3-024,C3,sdn_flow_config,0.8,1.0,0.0,1.0,,5.5438,1044,121
B3-025,C3,sdn_flow_config,0.8333,1.0,0.0,1.0,,1.1711,1056,140
B3-026,C3,sdn_flow_config,0.4,0.5,0.0,1.0,,2.5054,1079,241
B3-027,C3,sdn_flow_config,1.0,1.0,0.0,1.0,,1.2313,1063,156
B3-028,C3,sdn_flow_config,0.6667,0.5,0.0,1.0,,1.2955,1123,143
B3-029,C3,sdn_flow_config,0.8,1.0,0.0,1.0,,1.3275,1056,137
B3-030,C3,sdn_flow_config,0.6667,0.5,0.0,1.0,,1.7821,1068,129
B3-031,C3,ran_handover_config,1.0,1.0,0.0,1.0,,1.2989,1083,123
B3-032,C3,ran_handover_config,1.0,1.0,0.0,1.0,,1.7594,1090,157
B3-033,C3,ran_handover_config,0.8,1.0,0.0,1.0,,1.1094,1143,120
B3-034,C3,ran_handover_config,0.75,0.0,0.0,1.0,,1.4863,1073,150
B3-035,C3,ran_handover_config,0.6667,1.0,0.0,1.0,,1.0877,1086,108
B3-036,C3,ran_handover_config,0.75,1.0,0.0,1.0,,1.8632,1070,142
B3-037,C3,ran_handover_config,0.75,0.0,0.0,1.0,,2.4596,1073,136
B3-038,C3,ran_handover_config,0.75,0.5,0.0,1.0,,1.3324,1126,164
B3-039,C3,slice_policy_config,0.5,1.0,0.0,1.0,,1.1395,1055,117
B3-040,C3,slice_policy_config,0.6667,1.0,0.0,1.0,,1.5461,1057,118
B3-041,C3,slice_policy_config,0.6667,1.0,0.0,1.0,,1.1237,1102,103
B3-042,C3,slice_policy_config,1.0,1.0,0.0,1.0,,3.2032,1050,106
B3-043,C3,slice_policy_config,0.75,1.0,0.0,1.0,,1.3348,1062,132
B3-044,C3,slice_policy_config,0.5,1.0,0.0,1.0,,1.1292,1041,118
B3-045,C3,edge_acl_config,1.0,1.0,0.0,1.0,,1.4056,1059,131
B3-046,C3,edge_acl_config,1.0,1.0,0.0,1.0,,1.2575,1052,165
B3-047,C3,operator_history_config,1.0,1.0,0.0,1.0,,1.1302,1064,134
B3-048,C3,operator_history_config,1.0,1.0,0.0,1.0,,1.4022,1082,134
B3-049,C3,rag_doc_config,1.0,1.0,0.0,1.0,,1.2459,1089,160
B3-050,C3,rag_doc_config,1.0,0.0,0.0,1.0,,1.2402,1133,163
